slug,name,category_slug,state_code,description,official_website,service_notes,status,is_verified,last_verified_at,provider_type,start_service_url,address_check_url,outage_url,hours,technology_type
sanford-water,City of Sanford Water Utilities,water,FL,City water service for Sanford and some unincorporated areas.,https://sanfordfl.gov/government/public-works-utilities/water_and_sewer/,The city directs customers to confirm service availability for a specific property.,verified,1,2026-07-27,municipal_utility,https://sanfordfl.gov/government/public-works-utilities/water_and_sewer/,https://sanfordfl.gov/government/public-works-utilities/water_and_sewer/,,,
sanford-sewer,City of Sanford Wastewater Utilities,sewer,FL,City wastewater service for Sanford and some unincorporated areas.,https://sanfordfl.gov/government/public-works-utilities/water_and_sewer/,The city directs customers to confirm service availability for a specific property.,verified,1,2026-07-27,municipal_utility,https://sanfordfl.gov/government/public-works-utilities/water_and_sewer/,https://sanfordfl.gov/government/public-works-utilities/water_and_sewer/,,,
sanford-solid-waste,City of Sanford Solid Waste Division,trash-recycling,FL,City-managed solid waste information for addresses within its service area.,https://sanfordfl.gov/government/public-works-utilities/,Collection arrangements depend on the exact service address.,verified,1,2026-07-27,municipal_department,https://sanfordfl.gov/government/public-works-utilities/,https://sanfordfl.gov/government/public-works-utilities/,,,
ouc-electric,Orlando Utilities Commission,electricity,FL,Municipally owned electric utility serving Orlando and parts of Orange and Osceola counties.,https://www.ouc.com/,OUC service territory does not follow ZIP boundaries.,verified,1,2026-07-28,municipal_utility,https://www.ouc.com/account/start-stop-move/,https://www.ouc.com/account/start-stop-move/,https://www.ouc.com/contact/,Customer service Monday-Friday 7 a.m.-6 p.m.; outage reporting 24 hours,
ouc-water,Orlando Utilities Commission,water,FL,Water utility serving Orlando and portions of Orange County.,https://www.ouc.com/about/water-services/,Confirm water availability for the exact property.,verified,1,2026-07-28,municipal_utility,https://www.ouc.com/account/start-stop-move/,https://www.ouc.com/account/start-stop-move/,https://www.ouc.com/contact/,Customer service Monday-Friday 7 a.m.-6 p.m.,
deland-water,City of DeLand Water Utility,water,FL,City water service billed by DeLand Utility Billing.,https://deland.org/476/Billing-Information,City limits and utility boundaries do not match every ZIP address.,verified,1,2026-07-27,municipal_utility,https://deland.org/476/Billing-Information,https://deland.org/476/Billing-Information,,,
deland-sewer,City of DeLand Sewer Utility,sewer,FL,City sewer service billed by DeLand Utility Billing.,https://deland.org/476/Billing-Information,Sewer availability must be checked for the exact property.,verified,1,2026-07-27,municipal_utility,https://deland.org/476/Billing-Information,https://deland.org/476/Billing-Information,,,
deland-solid-waste,City of DeLand Solid Waste Service,trash-recycling,FL,Garbage collection information for properties within DeLand city limits.,https://deland.org/476/Billing-Information,The official page says city-limit properties receive garbage collection.,verified,1,2026-07-27,municipal_department,https://deland.org/476/Billing-Information,https://deland.org/476/Billing-Information,,,
seco-electric,SECO Energy,electricity,FL,Member-owned electric cooperative with a seven-county Central Florida territory.,https://secoenergy.com/service-territory,The service territory includes parts of Lake County; confirm membership by address.,verified,1,2026-07-27,electric_cooperative,https://secoenergy.com/start-new-service/,https://secoenergy.com/service-territory,https://secoenergy.com/stormcenter/,,
kua-electric,Kissimmee Utility Authority,electricity,FL,Community-owned electric utility serving customers in Kissimmee and surrounding areas.,https://kua.com/about-kua/service-territory/,Use KUA's official territory map or contact center to confirm an address.,verified,1,2026-07-28,municipal_utility,https://my.kua.com/,https://kua.com/about-kua/service-territory/,https://kua.com/out/,Outage reporting 24 hours,
