provider_slug,zip_code,coverage_type,coverage_notes,confidence_level,is_primary,service_availability,requires_address_confirmation,jurisdiction_notes
sanford-water,32771,possible,Possible city provider for some Sanford addresses; confirm water service by exact address.,high,0,possible,1,Sanford mailing addresses may be outside the City service area.
sanford-sewer,32771,possible,Possible city provider for some Sanford addresses; sewer or septic varies by property.,high,0,possible,1,Sanford mailing addresses may use another utility or septic.
sanford-solid-waste,32771,address_required,City service depends on whether the address is inside the service area.,high,0,address_required,1,Unincorporated and multi-family properties may have different arrangements.
fcc-broadband-map,32771,address_required,Internet providers and technology vary building by building; use the FCC address search.,high,0,address_required,1,Availability and speeds vary by exact street address.
seminole-government,32771,address_required,Use county and city sites to confirm which local agency serves the property.,high,0,address_required,1,The mailing city may differ from government jurisdiction.
florida-psc-electric-finder,32771,address_required,Use the official state territory tool because an electric provider is not yet assigned for this ZIP.,high,0,address_required,1,The tool is a starting point and not a provider assignment.
lake-mary-water,32746,possible,Possible City of Lake Mary water service; the City says not all Lake Mary addresses are served.,high,0,primary_municipal,1,Confirm the address before applying.
lake-mary-sewer,32746,address_required,City wastewater service is possible; another utility or septic may apply.,high,0,address_required,1,Confirm sewer connection status for the parcel.
lake-mary-trash,32746,address_required,City collection is possible for eligible residential accounts.,high,0,address_required,1,City limits and property type affect service.
fcc-broadband-map,32746,address_required,Use the FCC address search for reported internet providers and technologies.,high,0,address_required,1,Availability and speeds vary by exact street address.
seminole-government,32746,address_required,Use the county and city sites to confirm jurisdiction.,high,0,address_required,1,The mailing city may differ from government jurisdiction.
florida-psc-electric-finder,32746,address_required,Use the official state territory tool to identify the possible electric utility.,high,0,address_required,1,The tool is a starting point and not a provider assignment.
ouc-electric,32801,possible,OUC serves Orlando but utility territory can split ZIP codes; confirm the address.,high,0,possible,1,The mailing city does not guarantee OUC service.
ouc-water,32801,possible,OUC provides water in Orlando and parts of Orange County; confirm the address.,high,0,possible,1,Other arrangements may apply outside OUC territory.
fcc-broadband-map,32801,address_required,Internet providers and technology vary building by building; use the FCC address search.,high,0,address_required,1,Availability and speeds vary by exact street address.
orange-government,32801,address_required,Use county and city sites to confirm which local agency serves the property.,high,0,address_required,1,The mailing city may differ from government jurisdiction.
winter-park-electric,32789,possible,Possible City of Winter Park electric service within the municipal territory.,high,1,primary_municipal,1,Winter Park mailing addresses can fall outside the City electric system.
