zip_code,state_code,state_name,county_name,city_name,status,is_indexable,last_verified_at,confidence_status,jurisdiction_notes,locality_source_url,mailing_city_name,jurisdiction_status
32771,FL,Florida,Seminole,Sanford,partial,1,2026-07-28,probable,The mailing city does not establish city limits or utility jurisdiction.,https://sanfordfl.gov/contact-us/,Sanford,mixed
32746,FL,Florida,Seminole,Lake Mary,partial,1,2026-07-28,probable,Not all Lake Mary mailing addresses receive City of Lake Mary utilities.,https://www.lakemaryfl.com/506/Apply-For-Change-Utility-Service,Lake Mary,mixed
32801,FL,Florida,Orange,Orlando,verified,1,2026-07-28,verified,Utility territories may cross Orlando and Orange County jurisdiction lines.,https://www.orlando.gov/Home,Orlando,mixed
32789,FL,Florida,Orange,Winter Park,verified,1,2026-07-28,verified,Winter Park mailing addresses can fall outside city utility boundaries.,https://cityofwinterpark.org/departments/finance/utility-billing/,Winter Park,mixed
32703,FL,Florida,Orange,Apopka,partial,1,2026-07-28,probable,City utility services vary by property location and city limits.,https://www.apopka.gov/335/New-Service,Apopka,mixed
32720,FL,Florida,Volusia,DeLand,partial,1,2026-07-28,probable,The mailing city does not guarantee City of DeLand utility service.,https://deland.org/476/Billing-Information,DeLand,mixed
32114,FL,Florida,Volusia,Daytona Beach,partial,1,2026-07-28,probable,Confirm whether the property is inside Daytona Beach utility and collection boundaries.,https://www.codb.us/utilitybilling,Daytona Beach,mixed
34748,FL,Florida,Lake,Leesburg,partial,1,2026-07-28,probable,The mailing city and utility service territory may differ.,https://www.leesburgflorida.gov/,Leesburg,mixed
34711,FL,Florida,Lake,Clermont,partial,1,2026-07-28,probable,Clermont states that city county or private utilities may serve an address.,https://www.clermontfl.gov/285/Utility-Billing,Clermont,mixed
32757,FL,Florida,Lake,Mount Dora,verified,1,2026-07-28,verified,City-provided utilities depend on the exact service location.,https://www.mountdora.gov/1080/Apply-for-Utility-Service,Mount Dora,mixed
34741,FL,Florida,Osceola,Kissimmee,verified,1,2026-07-28,verified,Utility authorities do not follow ZIP boundaries exactly.,https://kua.com/about-kua/service-territory/,Kissimmee,mixed
34769,FL,Florida,Osceola,St. Cloud,verified,1,2026-07-28,verified,St. Cloud water and sewer are managed by Toho and electric is managed by OUC; confirm the address.,https://stcloudfl.gov/1684/About-Us,St. Cloud,mixed
