task_type,zip_code,city,county,provider_slug,missing_category,current_status,priority,suggested_official_source,last_researched_date,sources_reviewed,next_recommended_action,research_notes
missing-provider,32726,Eustis,Lake,,electricity,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,32726,Eustis,Lake,,water,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,32726,Eustis,Lake,,sewer,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,32726,Eustis,Lake,,trash-recycling,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,32726,Eustis,Lake,,internet,pending,4,https://broadbandmap.fcc.gov/home,2026-08-01,https://broadbandmap.fcc.gov/home,Review official provider address checkers and the FCC Broadband Map; never assign ZIP-wide availability.,Internet providers and technology vary by exact address; keep address confirmation mandatory.
missing-provider,32778,Tavares,Lake,,electricity,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,32778,Tavares,Lake,,water,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,32778,Tavares,Lake,,sewer,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,32778,Tavares,Lake,,trash-recycling,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,32778,Tavares,Lake,,internet,pending,4,https://broadbandmap.fcc.gov/home,2026-08-01,https://broadbandmap.fcc.gov/home,Review official provider address checkers and the FCC Broadband Map; never assign ZIP-wide availability.,Internet providers and technology vary by exact address; keep address confirmation mandatory.
missing-provider,34715,Clermont,Lake,,electricity,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,34715,Clermont,Lake,,water,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,34715,Clermont,Lake,,sewer,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,34715,Clermont,Lake,,trash-recycling,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,34715,Clermont,Lake,,internet,pending,4,https://broadbandmap.fcc.gov/home,2026-08-01,https://broadbandmap.fcc.gov/home,Review official provider address checkers and the FCC Broadband Map; never assign ZIP-wide availability.,Internet providers and technology vary by exact address; keep address confirmation mandatory.
missing-provider,34731,Fruitland Park,Lake,,electricity,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,34731,Fruitland Park,Lake,,water,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,34731,Fruitland Park,Lake,,sewer,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,34731,Fruitland Park,Lake,,trash-recycling,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,34731,Fruitland Park,Lake,,internet,pending,4,https://broadbandmap.fcc.gov/home,2026-08-01,https://broadbandmap.fcc.gov/home,Review official provider address checkers and the FCC Broadband Map; never assign ZIP-wide availability.,Internet providers and technology vary by exact address; keep address confirmation mandatory.
missing-provider,34736,Groveland,Lake,,electricity,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,34736,Groveland,Lake,,water,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,34736,Groveland,Lake,,sewer,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,34736,Groveland,Lake,,trash-recycling,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,34736,Groveland,Lake,,internet,pending,4,https://broadbandmap.fcc.gov/home,2026-08-01,https://broadbandmap.fcc.gov/home,Review official provider address checkers and the FCC Broadband Map; never assign ZIP-wide availability.,Internet providers and technology vary by exact address; keep address confirmation mandatory.
missing-provider,34753,Mascotte,Lake,,electricity,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,34753,Mascotte,Lake,,water,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,34753,Mascotte,Lake,,sewer,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,34753,Mascotte,Lake,,trash-recycling,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,34753,Mascotte,Lake,,internet,pending,4,https://broadbandmap.fcc.gov/home,2026-08-01,https://broadbandmap.fcc.gov/home,Review official provider address checkers and the FCC Broadband Map; never assign ZIP-wide availability.,Internet providers and technology vary by exact address; keep address confirmation mandatory.
missing-provider,34788,Leesburg,Lake,,electricity,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
